region,i,j,z_level,x (mm),y (mm),z (um),time
R0,0,3,0,27.40898125,8.25103125,2719.1718750000005,2024-11-12_15-50-33.465411
R0,0,4,0,27.40898125,8.651081249999999,2719.1718750000005,2024-11-12_15-50-34.846750
R0,1,4,0,27.80903125,8.651081249999999,2719.1718750000005,2024-11-12_15-50-36.154619
R0,2,4,0,28.20908125,8.651081249999999,2719.1718750000005,2024-11-12_15-50-37.550735
R0,3,4,0,28.60913125,8.651081249999999,2719.1718750000005,2024-11-12_15-50-38.807408
R0,4,4,0,29.00918125,8.651081249999999,2719.1718750000005,2024-11-12_15-50-40.028137
R0,5,4,0,29.40923125,8.651081249999999,2719.1718750000005,2024-11-12_15-50-41.268494
R0,6,4,0,29.80928125,8.651081249999999,2719.1718750000005,2024-11-12_15-50-42.547526
R0,7,4,0,30.20933125,8.651081249999999,2719.1718750000005,2024-11-12_15-50-43.834567
R0,8,4,0,30.60938125,8.651081249999999,2719.1718750000005,2024-11-12_15-50-45.124144
R0,9,4,0,31.00943125,8.651081249999999,2719.1718750000005,2024-11-12_15-50-46.646898
R0,10,4,0,31.40948125,8.651081249999999,2719.1718750000005,2024-11-12_15-50-48.143250
R0,11,4,0,31.80953125,8.651081249999999,2719.1718750000005,2024-11-12_15-50-49.599172
R0,12,4,0,32.20958125,8.651081249999999,2719.1718750000005,2024-11-12_15-50-53.461686
R0,13,4,0,32.60963125,8.651081249999999,2719.1718750000005,2024-11-12_15-50-54.857956
R0,14,4,0,33.00968125,8.651081249999999,2719.1718750000005,2024-11-12_15-50-56.149843
R0,14,5,0,33.00968125,9.05113125,2719.1718750000005,2024-11-12_15-50-57.509470
R0,13,5,0,32.60963125,9.05113125,2719.1718750000005,2024-11-12_15-50-59.027472
R0,12,5,0,32.20958125,9.05113125,2719.1718750000005,2024-11-12_15-51-00.465047
R0,11,5,0,31.80953125,9.05113125,2719.1718750000005,2024-11-12_15-51-01.915085
R0,10,5,0,31.40948125,9.05113125,2719.1718750000005,2024-11-12_15-51-03.183210
R0,9,5,0,31.00943125,9.05113125,2719.1718750000005,2024-11-12_15-51-04.470584
R0,8,5,0,30.60938125,9.05113125,2719.1718750000005,2024-11-12_15-51-05.740577
R0,7,5,0,30.20933125,9.05113125,2719.1718750000005,2024-11-12_15-51-07.031465
R0,6,5,0,29.80928125,9.05113125,2719.1718750000005,2024-11-12_15-51-08.313349
R0,5,5,0,29.40923125,9.05113125,2719.1718750000005,2024-11-12_15-51-09.601280
R0,4,5,0,29.00918125,9.05113125,2719.1718750000005,2024-11-12_15-51-10.921645
R0,3,5,0,28.60913125,9.05113125,2719.1718750000005,2024-11-12_15-51-12.210872
R0,2,5,0,28.20908125,9.05113125,2719.1718750000005,2024-11-12_15-51-13.510358
R0,1,5,0,27.80903125,9.05113125,2719.1718750000005,2024-11-12_15-51-14.806394
R0,0,5,0,27.40898125,9.05113125,2719.1718750000005,2024-11-12_15-51-16.056440
R0,0,6,0,27.40898125,9.45118125,2719.1718750000005,2024-11-12_15-51-17.296951
R0,1,6,0,27.80903125,9.45118125,2719.1718750000005,2024-11-12_15-51-18.536375
R0,2,6,0,28.20908125,9.45118125,2719.1718750000005,2024-11-12_15-51-19.877940
R0,3,6,0,28.60913125,9.45118125,2719.1718750000005,2024-11-12_15-51-21.261427
R0,4,6,0,29.00918125,9.45118125,2719.1718750000005,2024-11-12_15-51-22.664198
R0,5,6,0,29.40923125,9.45118125,2719.1718750000005,2024-11-12_15-51-23.933509
R0,6,6,0,29.80928125,9.45118125,2719.1718750000005,2024-11-12_15-51-25.227077
R0,7,6,0,30.20933125,9.45118125,2719.1718750000005,2024-11-12_15-51-26.912917
R0,8,6,0,30.60938125,9.45118125,2719.1718750000005,2024-11-12_15-51-28.242513
R0,9,6,0,31.00943125,9.45118125,2719.1718750000005,2024-11-12_15-51-29.536448
R0,10,6,0,31.40948125,9.45118125,2719.1718750000005,2024-11-12_15-51-30.859651
R0,11,6,0,31.80953125,9.45118125,2719.1718750000005,2024-11-12_15-51-32.319022
R0,12,6,0,32.20958125,9.45118125,2719.1718750000005,2024-11-12_15-51-33.651576
R0,13,6,0,32.60963125,9.45118125,2719.1718750000005,2024-11-12_15-51-35.060069
R0,14,6,0,33.00968125,9.45118125,2719.1718750000005,2024-11-12_15-51-36.467124
R0,14,7,0,33.00968125,9.85123125,2719.1718750000005,2024-11-12_15-51-37.957385
R0,13,7,0,32.60963125,9.85123125,2719.1718750000005,2024-11-12_15-51-39.638326
R0,12,7,0,32.20958125,9.85123125,2719.1718750000005,2024-11-12_15-51-41.294826
R0,11,7,0,31.80953125,9.85123125,2719.1718750000005,2024-11-12_15-51-42.675077
R0,10,7,0,31.40948125,9.85123125,2719.1718750000005,2024-11-12_15-51-43.988111
R0,9,7,0,31.00943125,9.85123125,2719.1718750000005,2024-11-12_15-51-45.281271
R0,8,7,0,30.60938125,9.85123125,2719.1718750000005,2024-11-12_15-51-46.599548
R0,7,7,0,30.20933125,9.85123125,2719.1718750000005,2024-11-12_15-51-48.084381
R0,6,7,0,29.80928125,9.85123125,2719.1718750000005,2024-11-12_15-51-49.384935
R0,5,7,0,29.40923125,9.85123125,2719.1718750000005,2024-11-12_15-51-50.885743
R0,4,7,0,29.00918125,9.85123125,2719.1718750000005,2024-11-12_15-51-52.295452
R0,3,7,0,28.60913125,9.85123125,2719.1718750000005,2024-11-12_15-51-53.602677
R0,2,7,0,28.20908125,9.85123125,2719.1718750000005,2024-11-12_15-51-54.962902
R0,1,7,0,27.80903125,9.85123125,2719.1718750000005,2024-11-12_15-51-56.290643
R0,0,7,0,27.40898125,9.85123125,2719.1718750000005,2024-11-12_15-51-57.541871
R0,0,8,0,27.40898125,10.25128125,2719.1718750000005,2024-11-12_15-51-58.907213
R0,1,8,0,27.80903125,10.25128125,2719.1718750000005,2024-11-12_15-52-00.251465
R0,2,8,0,28.20908125,10.25128125,2719.1718750000005,2024-11-12_15-52-01.551074
R0,3,8,0,28.60913125,10.25128125,2719.1718750000005,2024-11-12_15-52-02.821111
R0,4,8,0,29.00918125,10.25128125,2719.1718750000005,2024-11-12_15-52-04.200939
R0,5,8,0,29.40923125,10.25128125,2719.1718750000005,2024-11-12_15-52-05.587759
R0,6,8,0,29.80928125,10.25128125,2719.1718750000005,2024-11-12_15-52-06.908723
R0,7,8,0,30.20933125,10.25128125,2719.1718750000005,2024-11-12_15-52-08.214991
R0,8,8,0,30.60938125,10.25128125,2719.1718750000005,2024-11-12_15-52-09.560461
R0,9,8,0,31.00943125,10.25128125,2719.1718750000005,2024-11-12_15-52-10.920160
R0,10,8,0,31.40948125,10.25128125,2719.1718750000005,2024-11-12_15-52-12.285066
R0,11,8,0,31.80953125,10.25128125,2719.1718750000005,2024-11-12_15-52-13.666879
R0,12,8,0,32.20958125,10.25128125,2719.1718750000005,2024-11-12_15-52-15.148584
R0,13,8,0,32.60963125,10.25128125,2719.1718750000005,2024-11-12_15-52-16.631324
R0,14,8,0,33.00968125,10.25128125,2719.1718750000005,2024-11-12_15-52-17.979857
R0,14,9,0,33.00968125,10.65133125,2719.1718750000005,2024-11-12_15-52-19.321983
R0,13,9,0,32.60963125,10.65133125,2719.1718750000005,2024-11-12_15-52-20.744203
R0,12,9,0,32.20958125,10.65133125,2719.1718750000005,2024-11-12_15-52-22.168335
R0,11,9,0,31.80953125,10.65133125,2719.1718750000005,2024-11-12_15-52-23.568385
R0,10,9,0,31.40948125,10.65133125,2719.1718750000005,2024-11-12_15-52-25.002513
R0,9,9,0,31.00943125,10.65133125,2719.1718750000005,2024-11-12_15-52-26.290718
R0,8,9,0,30.60938125,10.65133125,2719.1718750000005,2024-11-12_15-52-27.585503
R0,7,9,0,30.20933125,10.65133125,2719.1718750000005,2024-11-12_15-52-28.897998
R0,6,9,0,29.80928125,10.65133125,2719.1718750000005,2024-11-12_15-52-30.188500
R0,5,9,0,29.40923125,10.65133125,2719.1718750000005,2024-11-12_15-52-31.502048
R0,4,9,0,29.00918125,10.65133125,2719.1718750000005,2024-11-12_15-52-32.786865
R0,3,9,0,28.60913125,10.65133125,2719.1718750000005,2024-11-12_15-52-34.061270
R0,2,9,0,28.20908125,10.65133125,2719.1718750000005,2024-11-12_15-52-35.355445
R0,1,9,0,27.80903125,10.65133125,2719.1718750000005,2024-11-12_15-52-36.639756
R0,0,9,0,27.40898125,10.65133125,2719.1718750000005,2024-11-12_15-52-37.929140
R0,0,10,0,27.40898125,11.05138125,2719.1718750000005,2024-11-12_15-52-39.213362
R0,1,10,0,27.80903125,11.05138125,2719.1718750000005,2024-11-12_15-52-40.489404
R0,2,10,0,28.20908125,11.05138125,2719.1718750000005,2024-11-12_15-52-41.776860
R0,3,10,0,28.60913125,11.05138125,2719.1718750000005,2024-11-12_15-52-43.047830
R0,4,10,0,29.00918125,11.05138125,2719.1718750000005,2024-11-12_15-52-44.333594
R0,5,10,0,29.40923125,11.05138125,2719.1718750000005,2024-11-12_15-52-45.621358
R0,6,10,0,29.80928125,11.05138125,2719.1718750000005,2024-11-12_15-52-46.908635
R0,7,10,0,30.20933125,11.05138125,2719.1718750000005,2024-11-12_15-52-48.197846
R0,8,10,0,30.60938125,11.05138125,2719.1718750000005,2024-11-12_15-52-49.469102
R0,9,10,0,31.00943125,11.05138125,2719.1718750000005,2024-11-12_15-52-50.748938
R0,10,10,0,31.40948125,11.05138125,2719.1718750000005,2024-11-12_15-52-52.024905
R0,11,10,0,31.80953125,11.05138125,2719.1718750000005,2024-11-12_15-52-53.312033
R0,12,10,0,32.20958125,11.05138125,2719.1718750000005,2024-11-12_15-52-54.625965
R0,13,10,0,32.60963125,11.05138125,2719.1718750000005,2024-11-12_15-52-55.951527
R0,14,10,0,33.00968125,11.05138125,2719.1718750000005,2024-11-12_15-52-57.263416
R0,14,11,0,33.00968125,11.45143125,2719.1718750000005,2024-11-12_15-52-58.568686
R0,13,11,0,32.60963125,11.45143125,2719.1718750000005,2024-11-12_15-52-59.856027
